,category,url,title,subtitle,pick,supporters,reward_levels,like_num,share_num,price,achievement_rate,achievement_goal,funding_period,funding_duration,start_day,abs_achievement_rate
14037,실용 · 취미,https://tumblbug.com/arnucu_quotes,"창작자를 위한 5500가지 ""나만의 명언 사전""","""창작자를 위한 나만의 명언 사전"" 5500개의 명언을 찾고 관리하게 좋게 제작하였습니다.",0,78,"['1,000원 +', '19,000원 +', '16,000원 +']",134,0,1299000.0,259%,500000,2023.05.09 ~ 2023.06.06,28,Tuesday,259.8
14038,실용 · 취미,https://tumblbug.com/bookshop_5th,책방을 꿈꾼다면 [커피 한 잔 값으로 독립서점 시작하기],작은 책방 이야기는 베스트셀러가 될 수 있을까? 베스트셀러 만들기 프로젝트,0,97,"['1,000원 +', '15,000원 +', '20,000원 +', '30,000원 +', '7,500원 +', '10,000원 +', '20,000원 +', '50,000원 +', '4,500원 +']",176,8,1211000.0,242%,500000,2023.09.04 ~ 2023.10.03,29,Monday,242.20000000000002
14039,실용 · 취미,https://tumblbug.com/kpksy,[단독공개] 하루 10분 영상 만들기로 매달 알바비 벌기,인스타에서 하루 10분 영상만들기로 매달 알바비 벌기 전략 A to Z,0,40,"['1,000원 +', '19,000원 +', '25,000원 +', '29,000원 +']",129,45,1199000.0,239%,500000,2023.09.24 ~ 2023.10.24,30,Sunday,239.8
14040,실용 · 취미,https://tumblbug.com/starterseller,"요즘 MZ들이 진짜 돈버는 법, 스마트스토어 올인원 가이드",남는 시간 활용해서 간편히 돈 벌고 싶은 사람 손! 스타터셀러만 믿고 따라해보세요.,0,52,"['1,000원 +', '25,900원 +', '44,900원 +', '14,900원 +', '27,900원 +']",160,40,1192600.0,238%,500000,2023.09.20 ~ 2023.11.19,60,Wednesday,238.52
14041,실용 · 취미,https://tumblbug.com/kyung,"코딩과 디자인 NO, 딱 1권으로 블로그 완전정복하기!","왕초보도 쉽게 따라하는 블로그, 단 1권으로 완전정복하기!",0,37,"['1,000원 +', '99,000원 +', '29,000원 +', '19,000원 +', '24,000원 +']",116,23,1171000.0,234%,500000,2023.11.29 ~ 2023.12.20,21,Wednesday,234.20000000000002
14042,실용 · 취미,https://tumblbug.com/beginner,경리직원을 위한 세무회계 업무 스킬업!!,하면 할수록 어려운 세금실무! 기초를 튼튼히 하여 가장 빨리 배울 수 있도록 방법을 제시!,0,30,"['1,000원 +', '59,000원 +', '39,000원 +']",88,3,1165000.0,233%,500000,2023.11.03 ~ 2023.11.08,5,Friday,233.0
14043,실용 · 취미,https://tumblbug.com/selfdesign,"[셀프 디자인 출원] 이렇게 쉬운데, 왜 직접 안 해요?","아이디어를 갖고 있는 모든 사람들을 위한
변리사 없이 직접 하는 셀프 디자인 출원 가이드",0,41,"['1,000원 +', '29,600원 +', '34,900원 +', '24,400원 +']",138,30,1176900.0,235%,500000,2023.04.17 ~ 2023.05.19,32,Monday,235.38000000000002
14044,실용 · 취미,https://tumblbug.com/happy123,30대 여자를 위한 불안과 스트레스 없애는 방법,불안과 스트레스에서 벗어나 단단한 내면 상태에 이를 수 있는 효과적인 순서와 방법,0,49,"['1,000원 +', '12,000원 +', '20,000원 +', '35,000원 +', '99,000원 +', '149,000원 +', '799,000원 +', '1,999,000원 +', '20,000원 +', '30,000원 +', '199,000원 +', '10,000원 +', '499,000원 +', '15,000원 +']",102,40,1089000.0,217%,500000,2023.10.13 ~ 2023.11.12,30,Friday,217.79999999999998
14045,실용 · 취미,https://tumblbug.com/easyprofit,신입사원을 위한 <1시간 초압축 재무제표 공략집>,"꼭 필요한 회계/재무제표 지식만을 쉽게 담은
""초압축 재무제표 공략집"" 입니다.
",0,33,"['1,000원 +', '14,000원 +', '18,000원 +', '25,000원 +', '50,000원 +', '20,000원 +', '40,000원 +']",60,1,998000.0,199%,500000,2023.07.22 ~ 2023.08.21,30,Saturday,199.6
14046,실용 · 취미,https://tumblbug.com/goverment,[2024년 창업필독서] 당신만 모르는 돈버는 정부지원사업,"2024년 예비 창업가를 위한 정부지원사업 신청, 사업계획서 작성 등을 다룬 왕초보 가이드",0,38,"['1,000원 +', '50,000원 +', '70,000원 +', '5,000원 +', '30,000원 +', '100,000원 +', '15,000원 +', '20,000원 +', '20,000원 +']",139,42,935000.0,187%,500000,2023.11.17 ~ 2023.12.12,25,Friday,187.0
14047,실용 · 취미,https://tumblbug.com/qqq3085,은퇴 후 N잡러의 올킬 현금흐름,은퇴 후 N잡러 올킬 현금흐름,0,34,"['1,000원 +', '18,900원 +', '19,900원 +', '25,900원 +', '22,900원 +']",37,19,910600.0,182%,500000,2023.05.31 ~ 2023.06.21,21,Wednesday,182.12
14048,실용 · 취미,https://tumblbug.com/relay_novel,빈 화면이 무서운 스토리작가를 위한 참여형 릴레이 소설집!,첫 줄은 제가 쓸게요. 작가님들은 이어서 쓰기만 하면 스토리가 뚝딱!,0,23,"['1,000원 +', '25,200원 +', '37,400원 +', '41,900원 +', '59,700원 +', '28,000원 +']",134,1,900900.0,180%,500000,2023.08.02 ~ 2023.09.06,35,Wednesday,180.18
14049,실용 · 취미,https://tumblbug.com/lgbtq,성정체성을 고민하는 십대 퀴어를 위한 안내서 ,"LGBTQ와 관련한 주제를 10대 눈높이에서 풀어쓴, 10대 퀴어를 위한 안내서입니다. ",0,84,"['1,000원 +', '25,000원 +', '28,500원 +', '30,000원 +', '36,500원 +', '54,500원 +', '69,000원 +']",101,24,3554000.0,177%,2000000,2023.03.15 ~ 2023.04.16,32,Wednesday,710.8
14050,실용 · 취미,https://tumblbug.com/grammar2023,세상에서 가장 쉬운 기초 영어문법,기초영어문법 자료로 손쉽게 영어 문법을 정복해보세요!!,0,34,"['1,000원 +', '28,000원 +', '25,000원 +']",85,1,855000.0,171%,500000,2023.07.03 ~ 2023.07.07,4,Monday,171.0
14051,실용 · 취미,https://tumblbug.com/240101,한 달에 한번! 게으르머를 위한 가계부 템플릿,"한달에 한번쓰는 가계부로 순자산 10배 만든 돈관리법과 재테크 실행방법을 소개합니다
",0,40,"['1,000원 +', '19,900원 +', '48,900원 +']",112,28,859500.0,171%,500000,2023.11.22 ~ 2023.12.19,27,Wednesday,171.9
14052,실용 · 취미,https://tumblbug.com/kimnbookpython,"내일은 파이썬, 비전공자&입문자를 위한 파이썬의 모든 것!","1권(입문)+2권(실전) 분권, 도식화, 에러 정리, 실전 팁 등 실용적인 파이썬 학습도서",0,56,"['1,000원 +', '22,000원 +', '44,000원 +']",65,7,1639000.0,163%,1000000,2023.08.11 ~ 2023.09.14,34,Friday,327.8
